player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Adam Hložek,Leverkusen,CZE,"MF,FW",21.0,5.1,0.6,0.39,0.18,0.78,3.5299999999999994,0.11,13,9,2,0,14,5,4,33,4,2,8,8,7,105,99,21,8
Adam Lallana,Brighton,ENG,"MF,FW",35.0,9.4,0.09,0.0,0.18,0.27,1.16,0.0,39,15,16,1,9,4,3,55,3,3,3,8,11,229,268,80,10
Adam Marušić,Lazio,MNE,DF,30.0,34.4,0.01,0.030000000000000002,0.02,0.04,0.23,0.13,118,10,24,11,35,3,14,108,31,29,32,24,10,391,1028,695,5
Adam Masina,Torino,MAR,DF,29.0,12.1,0.023471074380165293,0.0,0.018842975206611573,0.04231404958677686,0.4961157024793389,0.0,43,3,4,0,3,0,1,9,12,13,26,21,5,49,323,422,4
Adam Obert,Cagliari,SVK,DF,20.0,10.5,0.01,0.0,0.09,0.1,0.29,0.0,37,6,10,6,14,1,3,5,9,21,14,14,4,52,281,256,3
Adam Smith,Bournemouth,ENG,DF,32.0,23.9,0.0,0.0,0.05,0.06,0.08,0.0,89,17,23,17,24,3,4,28,23,21,18,30,22,295,537,404,5
Adam Webster,Brighton,ENG,DF,28.0,12.7,0.03,0.0,0.01,0.05,0.63,0.0,80,5,4,0,16,0,0,2,12,16,33,9,3,86,625,495,4
Adam Wharton,Crystal Palace,ENG,MF,19.0,14.4,0.02,0.0,0.17,0.19,0.69,0.0,79,21,16,3,14,0,3,10,32,20,7,18,21,183,426,143,13
Adama Bojang,Reims,GAM,FW,19.0,0.9,1.38,0.0,0.05,1.43,4.34,0.0,1,1,0,0,2,1,1,8,1,1,1,4,1,22,16,5,8
Adama Traoré,Fulham,ESP,"FW,MF",27.0,4.2,0.36,0.48,0.17,0.53,2.63,0.18,16,7,9,4,29,13,9,48,3,1,9,5,4,118,51,28,8
Adel Mahamoud,Nantes,COM,FW,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,0
Ademola Lookman,Atalanta,NGA,"FW,MF",25.0,21.0,0.43,0.52,0.25,0.68,3.18,0.16,97,50,32,2,72,35,39,222,15,9,18,28,34,607,458,54,5
Adnan Januzaj,Sevilla,BEL,"FW,MF",28.0,2.1,0.28,0.0,0.02,0.3,2.8,0.0,9,2,1,1,1,0,5,17,3,1,3,3,9,57,56,8,9
Adri Bosch,Granada,ESP,DF,22.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,8,10,0
Adri Embarba,Almería,ESP,"FW,MF",31.0,27.5,0.13,0.07,0.16,0.32,2.29,0.03,58,52,25,16,94,24,46,167,37,15,25,37,40,633,514,195,5
Adrian Grbić,Lorient,AUT,FW,26.0,0.3,0.27,0.0,0.0,0.27,5.81,0.0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,9,1,9
